source,raw_score,label
lab,0.797810,1
llm,0.700632,1
med,0.340118,0
lab,0.477937,0
llm,0.459131,0
llm,0.576542,0
llm,0.665116,1
regex,0.309716,0
regex,0.586430,0
med,0.322741,0
llm,0.747263,1
llm,0.614419,1
lab,0.741709,1
lab,0.899098,1
med,0.292232,0
llm,0.481597,0
lab,0.804680,1
regex,0.658311,1
lab,0.724337,1
med,0.667963,1
regex,0.400402,0
med,0.622676,1
med,0.555105,1
med,0.257439,0
llm,0.561011,0
regex,0.313689,0
med,0.288943,0
lab,0.795542,1
lab,0.653880,1
llm,0.374881,0
llm,0.326314,0
llm,0.609713,1
regex,0.663047,1
llm,0.502000,0
med,0.623995,1
med,0.742698,1
lab,0.674658,1
med,0.455874,0
med,0.352584,0
regex,0.757409,1
med,0.571421,1
llm,0.592343,1
regex,0.296620,0
lab,0.263687,0
regex,0.796092,1
llm,0.542786,0
med,0.538820,1
llm,0.555079,0
regex,0.224292,0
lab,0.447298,0
regex,0.334630,0
regex,0.358832,0
llm,0.786129,1
llm,0.511787,1
llm,0.541624,0
med,0.407946,0
lab,0.826991,1
regex,0.773587,1
regex,0.531851,0
lab,0.527790,0
regex,0.339805,0
llm,0.679730,1
regex,0.750795,1
llm,0.314792,0
regex,0.431726,0
lab,0.769682,1
lab,0.668531,1
regex,0.353594,0
lab,0.677327,1
llm,0.714107,1
lab,0.542084,1
regex,0.700688,1
regex,0.862711,1
regex,0.582356,0
llm,0.542572,0
regex,0.681460,1
med,0.442840,0
llm,0.471479,0
lab,0.361243,0
lab,0.730540,1
lab,0.578306,1
llm,0.322433,0
lab,0.171255,0
lab,0.445925,0
lab,0.266849,0
lab,0.516291,1
llm,0.473257,0
llm,0.515165,1
med,0.538098,0
med,0.976089,1
regex,0.605922,1
med,0.782001,1
lab,0.647249,1
llm,0.683764,1
regex,0.688707,1
lab,0.783638,1
med,0.840234,1
llm,0.743039,1
lab,0.387765,0
regex,0.636890,1
med,0.662246,1
regex,0.466550,0
llm,0.260769,0
llm,0.530566,1
llm,0.419031,0
llm,0.682785,1
med,0.303289,0
med,0.788422,1
llm,0.589196,1
llm,0.302178,0
med,0.668772,1
med,0.487435,0
lab,0.592667,0
med,0.635451,1
regex,0.416359,0
lab,0.456105,0
med,0.838339,1
regex,0.893772,1
med,0.606697,1
med,0.340043,0
regex,0.496480,0
lab,0.533415,0
med,0.460820,0
regex,0.384329,0
regex,0.572742,0
regex,0.797498,1
llm,0.629812,1
regex,0.291844,0
med,0.546194,0
llm,0.568837,0
lab,0.699587,1
med,0.647216,1
llm,0.335225,0
regex,0.750957,1
regex,0.990000,1
llm,0.691162,1
lab,0.360383,0
med,0.685744,1
llm,0.604071,1
med,0.725711,1
med,0.574301,1
lab,0.383189,0
regex,0.683172,1
lab,0.203437,0
llm,0.636351,1
med,0.183372,0
lab,0.427622,0
llm,0.716986,1
llm,0.478265,0
llm,0.712292,1
regex,0.351849,0
lab,0.658071,1
med,0.697228,1
med,0.174715,0
regex,0.679704,1
regex,0.810384,1
lab,0.862513,1
lab,0.727606,1
med,0.684439,1
llm,0.613139,0
med,0.619677,1
med,0.725097,1
lab,0.574068,1
llm,0.431568,0
regex,0.962461,1
med,0.612179,1
llm,0.492703,0
llm,0.640724,1
lab,0.746570,1
llm,0.746718,0
llm,0.622573,1
med,0.585780,0
llm,0.372260,0
regex,0.990000,1
med,0.589068,1
med,0.601181,0
lab,0.798874,1
llm,0.632347,1
llm,0.845615,1
lab,0.463331,0
regex,0.191195,0
regex,0.466074,0
regex,0.771452,1
llm,0.687457,1
regex,0.848456,1
llm,0.684126,1
llm,0.582891,1
lab,0.461420,0
llm,0.499278,0
lab,0.782129,1
llm,0.492218,0
lab,0.324001,0
regex,0.843829,1
med,0.628268,1
regex,0.879449,1
llm,0.614458,1
med,0.502695,1
lab,0.226252,0
lab,0.367598,0
lab,0.859535,1
lab,0.830994,1
regex,0.990000,1
lab,0.311289,0
lab,0.609860,1
llm,0.758834,1
regex,0.239475,0
llm,0.530640,0
llm,0.431787,0
regex,0.348092,0
llm,0.712928,1
llm,0.731420,1
regex,0.457316,0
llm,0.565363,0
med,0.614876,1
lab,0.757054,1
llm,0.652734,1
llm,0.255507,0
llm,0.426506,0
lab,0.416001,0
